,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish,Vietnamese,
,Nel cor piu non mi sento,Nel Cor Piu Non Mi Sento,نيل كور بيو نون مي سنتو,心中欢乐已经失去,心中歡樂已經失去,Nel Cor Piu Non Mi Sento,Nel Cor Piu Non Mi Sento,Nel Cor Piu Non Mi Senta,Nel Cor Piu Non Mi Sento,Nel Cor Piu Non Mi Sento,नेल कोर पीयू नॉन एमआई सेंटो,Nel Cor Piu Non Mi Sento,Nel Piu Non Mi Sente,Nel cor piu non mi sento,もはや私の心には感じない,Nel Cor Piu Non Mi Sento,Nel Cor Piu Non Mi Sento,Nel Cor Piu Non Mi Sento,Nel Cor Pi Piu Non Mi Sento,Nel Cor Pi Piu Non Mi Sento,В сердце больше не чувствую,Nel Cor Piu No Mi Sento,Nel Cor Piu Non Mi Sento,nel cor piu non mi sento,Nel Cor Piu Non Mi Sento,Nel Cor Piu Non Mi Sento,
,Etincelles Etude Op.36 No.6,Etincelles Etude Op.36 No.6,القطعة الموسيقية No.6 Op.36,火花,火花,Etincelles Etude Op.36 Nr. 6,Etincelles Etude Op.36 No.6,Etincelles Etude Op.36 No.6,Etinnelles Etude Op.36 No.6,Etincelles Etude Op.36 Nr.6,Etinselles etude op.36 No.6,Etincelles Etude Op.36 No.6,Etincinelles Etude Op.36 No.6,에땡셀 에튀드 Op.36 No.6,火花 練習曲 OP.36-6,Etincelles Etude Op.36 No.6,Etincelles Etude Op.36 No.6,Etincelles Etude Op.36 Nr 6,Etincelles Etude Op.36 No.6,Etincelles Etude Op.36 No.6,Искры Этюд Op.36 №6,Etincelles Etude Op.36 No.6,Etincelles Etude Op.36 No.6,Etincelles Etude op.36 No.6,Eteude Op.36 No.6,Etincelles Etude Op.36 Số 6,
,The Tuileries Gardens,The Tuileries Gardens,حدائق التويلري,杜伊勒里宫的花园,杜伊勒裡宮的花園,De Tuileries Gardens,The Tuileries Gardens,Tuileries -Puutarhat,Les Jardins Tuileries,The Tuileries Gardens,ट्यूलरीज गार्डन,Kebun Tuileries,The Tuileries Gardens,튈르리 정원,テュイルリー公園の音楽会,Taman -Taman Tuileries,Tuileries -Hagene,Ogrody Tuileries,Os Jardins Dos Tuilerias,Os Jardins Dos Tuilerias,Сад Тюильри,Los Jardines de las Mótulas,Tuileries TräDgåRdar,สวน Tuileries,Tuileries BahçEleri,CáC Khu VườN Tuileries,
,Graduation Song,Graduation Song,أغنية التخرج,毕业歌,畢業歌,Afstudeerlied,Graduation Song,Valmistumislaulu,Chanson de Graduation,Graduation Song,ग्रेजुएशन गीत,Lagu Wisuda,Canzone Di Laurea,졸업식 노래,卒業の唄,Lagu Pengijazahan,Konfirmasjonssang,Piosenka O UkońCzeniu StudióW,MúSica De GraduaçãO,MúSica De GraduaçãO,Песня выпускника,Canción de Graduación,ExamenslåT,เพลงสำเร็จการศึกษา,Mezuniyet şArkıSı,BàI HáT TốT NghiệP,
,Arirang,Arirang,أريرانج,阿里郎,阿里郎,Arirang,Arirang,Arirang,Arirang,Arirang,अरिरांग,Arirang,Arirang,아리랑,アリラン,Arirang,Arirang,Arirang,Arirang,Arirang,Ариран,Arirang,Arirang,Arirang,Arirang,Arirang,
,Au clair de la lune,Au Clair De La Lune,في ضوء القمر,在月光下,在月光下,Au Clair De La Lune,Au Clair De La Lune,Au Clair De La Lune,Au Clair de la Lune,Au Clair de la Lune,एयू क्लेयर डे ला लून,Au Clair De La Lune,Au Clair de la Lune,오 클레어 드 라 룬,月の光に,Au Clair De La Lune,Au Clair De La Lune,Au Clair De La Lune,Au Clair De La Lune,Au Clair De La Lune,У ясной луны,Au Clair de la Lune,Au Clair De La Lune,Au Clair de la Lune,Au Clair De La Lune,Au Clair De La Lune,
,Romeo and Juliet,Romeo and Juliet,روميو وجوليت,罗密欧与朱丽叶,羅密歐與朱麗葉,Romeo En Juliet,Romeo And Juliet,Romeo Ja Juulia,Roméo et Juliette,Romeo & Julia,रोमियो और जूलियट,Romeo Dan Juliet,Romeo E Giulietta,로미오와 줄리엣,ロミオとジュリエット,Romeo Dan Juliet,Romeo Og Julie,Romeo I Julia,Romeu E Julieta,Romeu E Julieta,Ромео и Джульетта,Romeo y Julieta,Romeo Och Julia,โรมิโอและจูเลียต,Romeo Ve Juliet,Romeo Và Juliet,
,O sole mio,O Sole Mio,او سول ميو,我的太阳,我的太陽,O Sole Mio,O Sole Mio,O Sole Mio,O Sole Mio,O Sole Mio,ओ एकमात्र Mio,O Sole Mio,O Sole Mio,오 솔레 미오,オーソレミオ,O Sole Mio,O Sole Mio,O Sole Mio,O úNico Mio,O úNico Mio,"О, мое солнце",Oh Sole Mio,O Sole Mio,O Mio แต่เพียงผู้เดียว,O Tek Mio,O Duy NhấT Mio,
,The Ragtime Dance,The Ragtime Dance,رقصة موسيقى الجاز,时间的舞蹈,時間的舞蹈,De Ragtime -Dans,The Ragtime Dance,Ragtime -Tanssi,La Danse du Ragtime,The Ragtime Dance,द रैगटाइम डांस,Tarian Ragtime,La Danza Ragtime,래그타임 댄스,ラグタイム・ダンス,Tarian Ragtime,Ragtime -Dansen,Taniec Ragtime,A DançA Do Ragtime,A DançA Do Ragtime,Рэгтайм танец,El Baile de Ragtime,Ragtime -Dansen,การเต้นรำ ragtime,Ragtime Dansı,ĐIệU NhảY Ragtime,
,Minuet K.1,Minuet K.1,المينيويت K.1,小步舞曲K.1,小步舞曲K.1,Minuet K.1,Minuet K.1,Minuet K.1,Minuet K.1,Menuett K.1,MINUET K.1,Minuet K.1,Minuet K.1,미뉴에트 K.1,メヌエット K.1,Minuet K.1,Minuet K.1,Minuet K.1,Minuet K.1,Minuet K.1,Менуэт K.1,Minuet K.1,Minuet K.1,Minuet K.1,Minuet K.1,Minuet K.1,
,Etude Op.599 No.55,Etude Op.599 No.55,القطعة الموسيقية No.55 Op.599,车尔尼Op.599 No.55,車爾尼Op.599 No.55,Etude Op.599 Nr. 55,Etude Op.599 No.55,Etude Op.599 No.55,Etude Op.599 N ° 55,Etude Op.599 Nr.55,Etude op.599 No.55,Etude Op.599 No.55,Etude Op.599 N. 55,에튀드 Op.599 No.55,練習曲 Op.599-55,Etude Op.599 No.55,Etude Op.599 No.55,Etude Op. 599 Nr 55,Etude Op.599 No.55,Etude Op.599 No.55,Этюд Op.599 №55,Etude Op.599 No.55,Etude Op.599 No.55,Etude Op.599 No.55,Erude Op.599 No.55,Etude Op.599 No.55,
,Maple Leaf Rag,Maple Leaf Rag,مابل ليف راج,枫叶拉格泰姆,楓葉拉格泰姆,Maple Leaf Dag,Maple Leaf Rag,Vaahteranlehti,Chiffon D'érable,Maple Leaf Rag,मेपल लीफ राग,Kain Daun Maple,Straccio Di Foglie D'acero,메이플 리프 래그,メイプル・リーフ・ラグ,Maple Leaf Rag,Maple Leaf Rag,Szmata Klonu,Pano De Folha De Bordo,Pano De Folha De Bordo,Кленовый лист рэг,Trapo de Hoja de Arce,LöNnblad Trasa,ผ้าขี้ริ้วเมเปิ้ล,AkçAağAç Yaprak Bezi,Maple Leaf Rag,
,Etude No.2,Etude No.2,القطعة الموسيقية No.2,李斯特超级练习曲No.2,李斯特超級練習曲No.2,Etude Nr. 2,Etude No.2,Etude Nro 2,Etude N ° 2,Etude No.2,Etude No.2,Etude No.2,Etude No.2,Etude No.2,練習曲 第2番,Etude No.2,Etude No.2,Etude Nr 2,Etude No.2,Etude No.2,Этюд №2,Etude No.2,Etude Nr 2,Etude No.2,Edude No.2,Etude Số 2,
,La Ronde de Lutins,La Ronde De Lutins,جولة العفاريت,精灵之舞,精靈之舞,La Ronde De Lutins,La Ronde De Lutins,La Ronde De Luutin,La Ronde de Lutins,La Ronde de Lutins,ला रोंडे डे लुटिन्स,La Ronde De Lutins,La Ronde de Lutins,라 론드 드 루틴,妖精の踊り,La Ronde De Lutins,La Ronde De Lutins,La Ronde De Lutins,La Ronde De Lutins,La Ronde De Lutins,Хоровод духов,La Ronde de Lutins,La Ronde De Lutins,La Ronde de Lutins,La Ronde De Lutins,La Ronde De Lutins,
,Horseman,Horseman,فارس,骑士,騎士,Ruiter,Horseman,Hevosmies,Cavalier,Horseman,घुड़सवार,Penunggang Kuda,Cavaliere,Horseman,ホースマン,Penunggang Kuda,Horseman,JeźDziec,Cavaleiro,Cavaleiro,Всадник,Jinete,Ryttare,นักขี่ม้า,Atlı,Kỵ Sĩ,
,Vals del Recuerdo,Vals Del Recuerdo,فالس دل ريكاردو,怀念的山谷,懷念的山谷,Vals Del Recuerdo,Vals Del Recuerdo,Vals Del Recuerdo,Vals Del Recuerdo,Vals del Recuerdo,वाल्स डेल रिकुएरडो,Vals Del Recuerdo,Vals Del Recuerdo,발스 델 레쿠에르도,ヴァルス・デル・レクエルド,Vals Del Recuerdo,Vals Del Recuerdo,Vals Del Recuerdo,Vals Del Recuerdo,Vals Del Recuerdo,Вальс воспоминаний,Vals del Recuerdo,Vals Del Recuerdo,vals del recuerdo,Vals Del Recuerdo,Vals Del Recuerdo,
,Prelude No.11 in B Major,Prelude No.11 in B Major,المقدمة No.11 في سلم سي الكبير,B大调前奏曲,B大調前奏曲,Prelude No.11 In B Major,Prelude No.11 In B Major,Prelude No.11 B -Duurissa,Prélude N ° 11 en B Major,Prelude No.11 in B Major,बी मेजर में प्रस्तावना नं।,Prelude No.11 Di B Mayor,Preludio N. 11 in B Maggiore,전주곡 No.11 B장조,プレリュード 第11番 ロ長調,Prelude No.11 Di B Major,Prelude No.11 I B Major,Prelude Nr 11 W B -Dur,PrelúDio No.11 Em B Major,PrelúDio No.11 Em B Major,Прелюдия №11 в В мажор,Preludio No.11 en B Major,Prelude No.11 I B Major,โหมโรงหมายเลข 11 ใน B Major,B Major'Da Prelude No.11,Prelude Số 11 Trong B Major,
,Tempest Sonata Mov.3,Tempest Sonata Mov.3,سوناتا العاصفة Mov.3,暴风雨第三乐章,暴風雨第三樂章,Tempest Sonata Mov.3,Tempest Sonata Mov.3,Tempest Sonata Mov.3,Tempest Sonata Mov.3,Tempest Sonata Mov.3,टेम्पेस्ट सोनाटा MOV.3,Tempest Sonata Mov.3,Tempest Sonata Mov.3,템페스트 소나타 Mov.3,テンペスト・ソナタ 第3楽章,Tempest Sonata Mov.3,Tempest Sonata Mov.3,Tempest Sonata Mov.3,Tempest Sonata Mov.3,Tempest Sonata Mov.3,Соната для фортепиано акт 3,Tempesta Sonata Mov.3,Tempest Sonata Mov.3,Tempest Sonata Mov.3,Tempest Sonata Mov.3,Tempest Sonata Mov.3,
,Nutcracker Op.71,Nutcracker Op.71,كسارة البندق Op.71,胡桃夹子进行曲,胡桃夾子進行曲,Notenkraker Op.71,Nutcracker Op.71,Nutcracker Op.71,Nurcracker Op.71,Nutcracker Op.71,Nutcracker Op.71,Nutcracker Op.71,Nutcracker Op.71,Nutcracker Op. 71,くるみ割り人形 Op.71,Nutcracker Op.71,NøTteknekker Op.71,Nutcracker Op.71,Nutcracker Op.71,Nutcracker Op.71,Щелкунчик Op.71,Nutcracker Op.71,NöTknäPpare Op.71,Nutcracker op.71,FıNdıKkıRan Op.71,Nutcracker Op.71,
,Little Star 12Var K265,Little Star 12var K265,نجمة صغيرة K265 12var,小星星变奏曲,小星星變奏曲,Little Star 12var K265,Little Star 12var K265,Little Star 12var K265,Little Star 12var K265,Kleiner Stern 12var K265,लिटिल स्टार 12var K265,Little Star 12var K265,Little Star 12var K265,Little Star 12Var K265,きらきら星 12Var K265,Little Star 12var K265,Little Star 12var K265,Little Star 12var K265,Little Star 12var K265,Little Star 12var K265,"Маленькая звезда, 12 вариаций K265",Little Star 12var K265,Little Star 12var K265,Little Star 12var K265,Little Star 12var K265,Little Star 12var K265,
,Peacherine Rag,Peacherine Rag,بيشرني راج,美丽谎言,美麗謊言,Peacherine Doek,Peacherine Rag,Persikka,Chiffon de Pêche,Peacherine Rag,पीचेरिन चीर,Kain Peacherine,Straccio Di Peschere,Peacherine Rag,ピーチェリン・ラグ,Peacherine Rag,Peacherine Rag,Peacherine Rag,Pano De Peacherina,Pano De Peacherina,Персиковый рэг,Trapo de Durazno,Peakerin Trasa,ผ้าขี้ริ้ว,Peachereine Bezi,Peacherine Rag,
,Piano Sonata No.4 Op.7,Piano Sonata No.4 Op.7,سوناتا على البيانو No.4 Op.7,第四钢琴奏鸣曲Op.7,第四鋼琴奏鳴曲Op.7,Piano Sonate No.4 Op.7,Piano Sonata No.4 Op.7,Piano Sonata No.4 Op.7,Sonata Piano N ° 4 Op.7,Piano Sonata Nr.4 Op.7,पियानो सोनाटा नंबर 4 ओपी .7,Piano Sonata No.4 Op.7,Piano Sonata No.4 Op.7,피아노 소나타 No.4 Op.7,ピアノソナタ 第4番 Op.7,Piano Sonata No.4 Op.7,Piano Sonata No.4 Op.7,Sonata Fortepianowa Nr 4 Op.7,Piano Sonata No.4 Op.7,Piano Sonata No.4 Op.7,Соната для фортепиано №4,Piano Sonata No.4 Op.7,Piano Sonata No.4 Op.7,เปียโนโซนาต้าหมายเลข 4 op.7,Piyano Sonata No.4 Op.7,Piano Sonata No.4 Op.7,
,Magic Flute Op.9,Magic Flute Op.9,الناي السحري Op.9,魔笛主题变奏曲,魔笛主題變奏曲,Magic Flute Op.9,Magic Flute Op.9,Maaginen Huilu Op.9,Flûte Magique Op.9,Magische Flöte Op. 9,मैजिक फ्लूट ओपी 9,Magic Flute Op.9,Flauto Magico Op.9,마술피리 Op.9,魔笛 Op.9,Magic Flute Op.9,Magic Flute Op.9,Magic Flute Op.9,Flauta MáGica Op.9,Flauta MáGica Op.9,Волшебная флейта Op.9,Flauta Mágica Op.9,Magic Flute Op.9,Magic Flute Op.9,Sihirli FlüT Op.9,SáO Ma ThuậT Op.9,
,Etude Op.299 No.6,Etude Op.299 No.6,القطعة الموسيقية No.6 Op.299,车尔尼Op.299 No.6,車爾尼Op.299 No.6,Etude Op.299 No.6,Etude Op.299 No.6,Etude Op.299 No.6,Etude Op.299 N ° 6,Etude Op.299 Nr.6,Etude op.299 No.6,Etude Op.299 No.6,Etude Op.299 N. 6,에튀드 Op.299 No.6,練習曲 Op.299-6,Etude Op.299 No.6,Etude Op.299 No.6,Etude Op.299 Nr 6,Etude Op.299 No.6,Etude Op.299 No.6,Этюд Op.299 №6,Etude Op.299 No.6,Etude Op.299 No.6,Etude op.299 ฉบับที่ 6,Erude Op.299 No.6,Etude Op.299 Số 6,
,The First Noel,The First Noel,نويل الأول,第一个圣诞节,第一個聖誕節,De Eerste Kerst,The First Noel,EnsimmäInen Noel,Le Premier Noël,The First Noel,द फ़र्स्ट नोएल,Noel Pertama,Il Primo Noel,첫 번째 노엘,牧人ひつじを,Noel Pertama,Den FøRste Noel,Pierwszy Noel,O Primeiro Noel,O Primeiro Noel,Первый Ноэль,El Primer Noel,Den FöRsta Noel,โนเอลแรก,İLk Noel,Noel đầU TiêN,
,Magic Flute Trio,Magic Flute Trio,الناي السحري الثلاثي,魔笛 三重奏,魔笛 三重奏,Magic Flute Trio,Magic Flute Trio,Maaginen Huilun Trio,Trio de Flûte Magique,Magic Flute Trio,मैजिक फ्लूट तिकड़ी,Trio Seruling Ajaib,Trio Di Flauto Magico,마술 피리 트리오,魔笛 三重奏,Magic Flute Trio,Magic Flute Trio,Magic Flute Trio,Trio De Flauta MáGica,Trio De Flauta MáGica,Трио Волшебной флейты,Trío de Flauta Mágica,Magic Flute Trio,Magic Flute Trio,Sihirli FlüT üçLüSü,Trio SáO Ma ThuậT,
,Scottish Dances,Scottish Dances,الرقصات الاسكتلندية,苏格兰舞,蘇格蘭舞,Schotse Dansen,Scottish Dances,Skotlantilainen Tanssit,Danses Écossaises,Scottish Dances,स्कॉटिश नृत्य,Tarian Skotlandia,Balli Scozzesi,스코틀랜드 춤곡,スコットランド舞曲,Tarian Scotland,Skotske Danser,Szkockie TańCe,DançAs Escocesas,DançAs Escocesas,Шотландские танцы,Bailes Escoceses,Skotska Danser,การเต้นรำสก็อต,İSkoç Dansları,CáC đIệU NhảY CủA Scotland,
,Peach Blossom,Peach Blossom,زهر الخوخ,桃花湖,桃花湖,Perzik Bloesem,Peach Blossom,Persikankukka,Fleur de Pêche,Peach Blossom,आडू खिलना,Buah Persik Yang Merekah,Fiore Di Pesco,복숭아 꽃,桃の花,Peach Blossom,Ferskenblomst,Brzoskwiniowy Kwiat,Flor De PêSsego,Flor De PêSsego,Цветы персика,Flor de Melocotón,Persikoblomma,ดอกพีช,ŞEftali çIçEğI,Hoa đàO,
,Hark! The Herald Angels Sing,Hark! the Herald Angels Sing,إسمع! هيرالد الملائكة الغناء,新生王,新生王,Hankje! De Herald -Engelen Zingen,Hark! The Herald Angels Sing,Hank! Herald -Enkelit Laulavat,Hark! Les Herald Angels Chantent,Hark! the Herald Angels Sing,हार्क! हेराल्ड एंजेल्स गाते हैं,Mendengar! The Herald Angels Bernyanyi,Hark! Gli Angeli Herald Cantano,들으라! 전령 천사들이 노래하네,天には栄え,Hark! The Herald Angels Menyanyi,Hark! Herald Angels Synger,SłUchać UważNie! Herald Angels śPiewają,Hark! Os Anjos Do Herald Cantam,Hark! Os Anjos Do Herald Cantam,Вести ангельской внемли,¡Escuchar con Atención! los Angelios del Heraldo Cantan,Haj! Herald Angels Sjunger,HARK Herald Angels ร้องเพลง,Hark! Herald Angels şArkı SöYlüYor,Nghe đâY! The Herald Angels HáT,
,Paganini Caprice No.9,Paganini Caprice No.9,باغانيني كابريس No.9,帕格尼尼随想曲 No.9,帕格尼尼隨想曲 No.9,Paganini Caprice Nr. 9,Paganini Caprice No.9,Paganini Caprice Nro 9,Paganini Caprice N ° 9,Paganini Caprice Nr.9,पगानिनी कैप्राइस नंबर 9,Paganini Caprice No.9,Paganini Caprice No.9,파가니니 카프리스 9번,パガニーニ奇想曲 第9番,Paganini Caprice No.9,Paganini Caprice No.9,Paganini Caprice Nr 9,Paganini Caprice No.9,Paganini Caprice No.9,Каприс Паганини №9,Paganini Caprice No.9,Paganini Caprice No.9,Paganini Caprice No.9,Paganini Caprice No.9,Paganini Caprice Số 9,
,Happy Chinese New Year,Happy Chinese New Year,سنة صينية جديدة سعيدة,恭喜恭喜,恭喜恭喜,Gelukkig Chinees Nieuwjaar,Happy Chinese New Year,Hyvää Kiinalaista Uutta Vuotta,Joyeux Nouvel an Chinois,Happy Chinese New Year,चीनी नव वर्ष की शुभकामनाएं,Selamat Tahun Baru Cina,Buon Capodanno Cinese,행복한 중국 새해,ハッピー・チャイニーズ・ニュー・イヤー,Selamat Tahun Baru Cina,Godt Kinesisk NyttåR,SzczęśLiwego Nowego ChińSkiego Roku,Feliz Ano Novo ChinêS,Feliz Ano Novo ChinêS,Счастливого китайского Нового года,Feliz Año Nuevo Chino,Gott Nytt Kinesiskt åR,สุขสันต์วันตรุษจีน,Mutlu ÇIn Yeni YıLları,ChúC MừNg NgườI Trung QuốC NăM MớI,
,Chinese New Year Theme,Chinese New Year Theme,رقصة عيد الربيع الصيني,春节舞曲,春節序曲,Chinees Nieuwjaarsthema,Chinese New Year Theme,Kiinalainen Uudenvuoden Teema,Thème du Nouvel an Chinois,Chinese New Year Theme,चीनी नव वर्ष का विषय,Tema Tahun Baru Imlek,Tema Del Capodanno Cinese,중국 새해 테마,中国の新年のテーマ,Tema Tahun Baru Cina,Kinesisk NyttåRs Tema,ChińSki Motyw Noworoczny,Tema Do Ano Novo ChinêS,Tema Do Ano Novo ChinêS,Тема китайского Нового года,Tema de Año Nuevo Chino,Kinesiskt NyåRstema,ธีมปีใหม่จีน,ÇIn Yeni YıLı Teması,Chủ đề NăM MớI CủA Trung QuốC,
,Golden Snake Dance,Golden Snake Dance,رقص الأفعى الذهبية,金蛇狂舞,金蛇狂舞,Gouden Snake Dance,Golden Snake Dance,Kultainen KääRmetanssi,Dance de Serpent Doré,Golden Snake Dance,गोल्डन स्नेक डांस,Tarian Ular Emas,Danza Del Serpente Dorato,황금 뱀 춤,金蛇狂舞,Tarian Ular Emas,Golden Snake Dance,ZłOty Taniec WężA,DançA De Cobra De Ouro,DançA De Cobra De Ouro,Танец золотой змеи,Baile de Serpientes Doradas,Gyllene Ormdans,การเต้นรำงูทองคำ,AltıN YıLan Dansı,Vũ đIệU RắN VàNg,
,Swan Lake,Swan Lake,بحيرة البجع,天鹅湖 主题曲,天鵝湖 主題曲,Zwanenmeer,Swan Lake,Joutsenlampi,Le Lac des Cygnes,Schwanensee,स्वान झील,Danau Swan,Il Lago Dei Cigni,백조의 호수,白鳥の湖,Swan Lake,SvanesjøEn,Jezioro łAbęDzie,Lago De Cisnes,Lago De Cisnes,Лебединое озеро,Lago de los Cisnes,Svansjö,ทะเลสาบ Swan,KuğU GöLü,Hồ ThiêN Nga,
,Original Rags,Original Rags,رجز الأصلي,原版拉格,原版拉格,Originele Vodden,Original Rags,AlkuperäIset RäTit,Chiffons D'origine,Original Rags,मूल लत्ता,Kain Asli,Stracci Originali,오리지널 래그,オリジナル・ラグス,Rag Asal,Originale Filler,Oryginalne Szmaty,Trapos Originais,Trapos Originais,Оригинальные рэги,Trapos Originales,Original Trasor,ผ้าขี้ริ้วดั้งเดิม,Orijinal PaçAvralar,Rags GốC,
